cal_r,cal_g,cal_b,L_star,a_star,b_star,hue,sat,val,delta_e,temperature_c,humidity_pct,strip_age_days,dose_ppm_min
138.08,116.6,95.54,50.54,5.02,14.75,30.0,30.6,54.1,46.04,34.3,69.4,41.6,563.2
173.37,155.04,132.11,65.01,3.03,14.5,34.0,23.5,67.8,31.58,32.2,71.1,53.7,340.5
63.2,45.1,27.07,20.15,5.68,14.86,30.0,57.3,24.7,76.25,16.2,52.9,35.5,1987.3
61.74,42.8,28.96,19.3,6.71,12.46,26.0,53.3,24.3,77.03,31.1,64.6,9.7,1613.1
238.92,233.84,214.12,92.55,-1.6,10.19,48.0,10.6,93.7,4.21,28.9,56.2,17.9,23.4
72.65,53.2,39.68,24.06,6.61,11.9,24.0,45.1,28.6,72.26,36.9,46.7,38.4,1385.9
89.99,70.65,49.94,31.5,5.06,15.6,32.0,44.3,35.3,65.0,18.7,75.6,38.4,1150.6
140.03,120.61,96.15,51.84,3.61,16.22,34.0,31.4,54.9,44.85,31.3,77.4,44.8,538.4
69.5,53.88,36.45,23.8,4.19,13.6,32.0,47.8,27.1,72.44,26.8,31.5,40.9,1606.4
83.91,66.03,47.04,29.38,4.72,14.49,30.0,43.9,32.9,66.98,24.5,51.1,31.4,1230.7
191.32,179.05,154.31,73.36,0.29,14.22,40.0,19.2,74.9,23.23,21.7,51.5,55.1,268.6
61.87,47.66,30.6,20.84,3.73,13.39,32.0,49.8,24.3,75.36,22.8,52.0,37.2,1781.8
204.74,192.91,173.3,78.5,0.88,11.37,38.0,15.7,80.4,17.66,40.3,48.9,22.8,160.8
54.49,38.51,27.48,16.98,5.76,10.23,26.0,49.8,21.2,79.2,29.8,60.6,40.5,1917.4
137.87,120.7,96.4,51.66,2.69,15.79,36.0,30.6,54.1,44.91,18.8,41.3,24.3,651.0
246.03,239.13,222.02,94.6,-0.55,9.09,42.0,9.8,96.5,1.75,35.1,36.0,26.0,0.0
222.12,212.21,192.01,85.27,0.04,11.21,40.0,13.3,87.1,10.96,27.4,43.0,50.5,103.2
218.8,209.88,187.61,84.32,-0.63,12.14,42.0,14.1,85.9,12.15,17.6,50.6,35.1,120.8
59.8,42.83,29.2,19.06,5.74,11.94,28.0,51.8,23.5,77.17,36.9,79.8,16.4,1502.4
235.51,231.32,212.02,91.61,-1.85,9.89,48.0,10.2,92.5,5.06,26.8,82.7,53.6,32.9
179.42,164.09,141.96,68.15,1.92,13.51,36.0,20.8,70.2,28.25,25.3,32.5,28.9,339.2
217.98,207.04,186.05,83.49,0.31,11.79,40.0,14.5,85.5,12.82,38.8,54.6,1.3,102.4
126.42,109.75,84.72,47.26,2.51,16.4,36.0,32.5,49.4,49.34,18.5,68.0,28.6,701.3
101.32,81.66,61.19,36.19,4.96,15.11,32.0,39.6,39.6,60.29,19.4,70.4,58.7,1021.7
123.86,104.2,81.08,45.38,4.15,15.94,32.0,34.5,48.6,51.22,28.6,50.8,15.4,714.3
168.73,151.78,128.01,63.63,2.39,14.81,36.0,24.3,66.3,32.94,22.9,47.7,35.9,405.1
207.11,196.1,176.01,79.58,0.49,11.47,38.0,14.9,81.2,16.6,24.0,50.8,37.9,175.1
60.67,43.72,27.53,19.41,5.37,13.53,30.0,54.1,23.9,76.88,29.5,32.1,30.0,1925.0
146.7,128.62,103.69,54.84,2.89,16.08,34.0,29.4,57.6,41.83,32.0,47.9,37.9,529.5
217.11,205.11,184.01,82.89,0.68,12.0,38.0,15.3,85.1,13.45,41.7,50.6,21.7,114.9
190.75,178.22,154.88,73.11,0.61,13.55,38.0,18.8,74.9,23.34,25.0,49.6,11.3,253.6
62.43,45.69,28.91,20.27,5.11,13.77,30.0,53.3,24.3,76.02,25.7,37.5,22.4,1856.9
109.71,90.05,66.79,39.62,4.4,16.46,32.0,39.2,43.1,57.0,28.1,45.2,6.8,882.7
245.52,240.48,222.3,94.91,-1.36,9.38,46.0,9.8,96.5,2.19,26.3,64.0,32.7,0.0
242.01,237.66,216.67,93.81,-2.06,10.68,50.0,10.2,94.9,3.76,24.4,48.4,12.7,11.7
68.21,49.64,31.52,22.26,5.71,14.78,30.0,52.9,26.7,74.15,29.5,64.4,21.4,1499.2
235.11,227.78,209.23,90.63,-0.63,9.94,44.0,11.0,92.2,5.57,31.6,46.0,49.7,40.7
68.15,49.17,35.59,22.2,6.51,12.02,24.0,47.1,26.7,74.11,24.9,52.3,57.9,1656.2
94.59,73.35,55.18,32.92,6.2,14.31,28.0,42.0,37.3,63.56,27.0,56.9,39.8,1078.2
203.84,191.1,168.56,77.86,0.76,12.99,38.0,17.3,80.0,18.58,28.7,61.1,2.3,177.6
67.61,54.09,35.07,23.62,2.93,14.21,34.0,48.6,26.7,72.61,27.7,45.9,18.9,1523.1
70.36,54.32,37.67,24.07,4.48,13.18,30.0,45.9,27.5,72.16,38.5,59.8,8.6,1327.8
85.23,66.81,46.79,29.76,4.82,15.17,32.0,44.7,33.3,66.67,29.5,41.2,55.8,1292.3
83.89,63.46,45.2,28.58,6.11,14.6,28.0,46.3,32.9,67.88,26.3,73.6,5.5,1155.4
105.58,86.12,65.01,38.01,4.69,15.31,30.0,38.8,41.6,58.48,24.1,72.0,50.3,910.3
125.51,106.7,83.38,46.29,3.72,15.86,34.0,34.1,49.4,50.28,25.0,53.8,25.4,705.4
57.75,42.24,28.83,18.6,5.05,11.53,26.0,49.8,22.7,77.57,25.6,64.1,21.7,1809.9
224.8,214.74,195.56,86.21,0.26,10.7,40.0,12.9,88.2,9.94,24.1,44.0,37.1,93.4
225.7,217.88,194.91,87.06,-1.14,12.27,44.0,13.7,88.6,9.66,15.0,50.4,21.9,83.7
118.34,100.4,80.95,43.74,3.99,13.7,30.0,31.4,46.3,52.59,22.4,67.7,40.7,747.6
58.63,41.63,29.22,18.53,5.96,11.2,26.0,51.0,23.1,77.69,31.4,39.4,7.8,1786.9
82.91,63.99,45.62,28.63,5.36,14.37,30.0,44.7,32.5,67.76,31.1,62.1,57.8,1224.4
103.19,81.61,62.87,36.42,6.07,14.43,28.0,38.8,40.4,60.09,26.8,47.1,15.6,956.2
198.59,186.2,165.46,76.08,0.93,12.09,38.0,17.3,78.0,20.16,25.5,50.0,22.3,207.5
200.16,189.05,164.57,76.93,-0.14,13.79,42.0,17.6,78.4,19.67,27.0,53.2,26.6,196.3
74.23,53.26,38.57,24.26,7.19,12.92,24.0,47.5,29.0,72.16,29.2,45.9,37.6,1431.9
115.45,95.47,72.44,41.88,4.46,16.2,32.0,37.3,45.1,54.74,21.5,54.6,59.8,893.6
138.18,119.2,97.84,51.31,3.89,14.47,32.0,29.0,54.1,45.15,23.0,42.0,60.0,671.6
146.62,128.41,104.3,54.78,3.07,15.65,34.0,29.4,57.6,41.83,27.0,55.7,26.7,521.2
117.51,98.94,74.33,43.11,3.56,16.77,34.0,37.3,46.3,53.55,29.8,73.2,53.6,758.2
73.94,56.93,38.17,25.3,4.6,14.56,32.0,48.6,29.0,71.04,26.9,52.6,34.8,1417.7
141.3,121.0,98.58,52.13,4.27,15.21,32.0,29.8,55.3,44.47,32.9,67.2,20.6,525.0
244.46,240.05,221.16,94.69,-1.69,9.65,50.0,9.4,95.7,2.63,29.7,39.0,39.9,0.0
231.6,227.87,205.65,90.29,-2.48,11.3,50.0,11.4,91.0,6.84,28.5,55.8,27.6,50.0
243.8,240.71,221.67,94.82,-2.17,9.56,52.0,9.0,95.7,2.97,21.6,43.2,7.8,0.0
102.04,84.05,63.35,37.0,4.12,14.9,32.0,38.4,40.0,59.4,31.6,66.2,47.2,884.3
61.11,44.31,29.89,19.69,5.5,12.34,28.0,51.0,23.9,76.55,40.4,76.6,48.4,1493.5
49.54,36.4,23.43,15.57,4.1,11.04,28.0,54.1,19.6,80.54,36.2,52.1,2.4,1983.0
135.65,116.71,93.73,50.29,3.68,15.42,32.0,31.0,53.3,46.27,26.4,48.0,40.8,638.2
86.29,68.01,50.66,30.31,5.08,13.49,30.0,40.8,33.7,66.0,23.2,63.2,54.5,1216.6
219.87,209.95,190.41,84.48,0.16,10.91,40.0,13.7,86.3,11.68,27.7,41.3,14.1,110.0
196.47,181.88,161.6,74.7,1.84,12.2,36.0,17.3,76.9,21.58,24.8,71.8,59.7,234.0
240.94,236.36,219.48,93.46,-1.31,8.73,46.0,9.0,94.5,3.13,26.5,58.1,37.0,9.8
218.92,208.82,188.49,84.08,0.1,11.34,40.0,14.1,85.9,12.15,19.1,62.2,36.8,120.1
143.95,126.31,100.16,53.87,2.56,16.73,36.0,30.6,56.5,42.88,31.0,49.5,14.9,532.9
100.12,79.26,57.13,35.29,5.35,16.38,30.0,43.1,39.2,61.35,26.8,55.3,47.6,1004.9
189.68,179.83,157.72,73.51,-0.22,12.55,42.0,16.9,74.5,22.78,31.8,44.6,11.5,237.8
153.62,136.29,109.17,57.68,2.19,16.97,36.0,29.4,60.4,39.18,33.6,29.8,30.4,487.9
54.7,38.17,24.64,16.84,5.72,12.0,26.0,54.5,21.6,79.39,26.3,64.6,24.5,1930.1
72.32,55.57,37.35,24.68,4.58,14.23,32.0,48.6,28.2,71.63,27.9,55.6,4.7,1413.4
70.88,57.28,39.0,25.06,2.99,13.64,34.0,45.1,27.8,71.14,20.1,60.7,8.9,1472.6
163.71,144.49,122.44,61.11,3.61,14.36,32.0,25.5,64.3,35.44,26.4,43.8,5.5,433.9
73.5,55.47,39.02,24.83,5.45,13.37,28.0,47.5,29.0,71.48,27.0,74.0,4.0,1339.0
176.57,160.7,137.29,66.9,1.95,14.31,36.0,22.7,69.4,29.62,25.3,56.0,57.0,351.0
78.58,61.71,43.32,27.39,4.44,14.11,32.0,45.5,31.0,68.91,28.5,45.5,21.5,1316.4
190.88,179.23,156.39,73.42,0.35,13.16,40.0,18.4,74.9,22.96,29.6,45.8,24.7,240.5
208.79,200.12,176.91,80.77,-0.86,12.7,44.0,15.3,82.0,15.73,26.3,43.0,49.9,165.6
194.51,179.45,158.72,73.84,1.96,12.53,34.0,18.4,76.5,22.49,25.1,56.3,47.1,242.3
115.64,97.97,77.15,42.7,3.71,14.5,32.0,33.7,45.5,53.68,28.0,54.4,12.9,759.6
207.66,196.99,176.28,79.86,0.27,11.73,40.0,15.3,81.6,16.37,22.7,36.4,50.3,181.9
152.26,133.49,110.93,56.84,3.46,14.78,32.0,27.1,59.6,39.69,34.9,79.1,36.7,433.6
66.31,49.48,33.63,22.01,5.14,13.03,28.0,48.6,25.9,74.24,29.1,74.0,28.0,1446.8
83.23,62.75,43.29,28.26,6.0,15.37,30.0,48.2,32.5,68.26,19.7,72.7,10.7,1245.6
205.31,194.31,171.8,78.88,0.11,12.71,40.0,16.1,80.4,17.52,33.5,39.7,17.5,173.7
59.57,39.0,27.25,17.82,7.97,11.63,22.0,54.9,23.5,78.58,31.0,45.5,32.2,1860.0
246.53,240.29,221.44,94.92,-1.05,9.85,44.0,10.6,96.9,2.07,20.7,46.2,23.2,0.0
70.35,53.61,37.08,23.84,4.87,13.26,30.0,47.1,27.5,72.42,27.3,69.6,20.5,1392.1
245.79,238.4,221.29,94.39,-0.38,9.16,40.0,10.2,96.5,1.84,22.2,64.0,59.1,0.0
93.14,77.05,56.28,33.85,3.38,14.85,34.0,39.6,36.5,62.49,25.0,56.9,31.8,1042.5
58.73,41.18,26.42,18.35,5.96,12.86,28.0,56.1,23.1,77.94,28.6,58.2,39.8,1917.9
158.0,140.57,116.71,59.41,2.66,15.14,36.0,25.9,62.0,37.16,25.1,20.7,37.5,502.1
88.38,68.86,50.06,30.79,5.44,14.55,30.0,43.1,34.5,65.63,30.4,53.9,58.2,1186.0
105.27,86.69,63.53,38.11,4.0,16.34,34.0,39.2,41.2,58.46,16.5,40.2,52.4,1090.7
168.61,147.18,126.8,62.38,4.71,13.73,28.0,24.7,66.3,34.21,24.6,31.5,33.6,440.2
58.15,43.18,29.41,18.95,4.7,11.62,28.0,49.8,22.7,77.21,32.1,42.7,53.7,1893.7
195.49,181.22,159.85,74.4,1.55,12.72,36.0,18.0,76.5,21.94,31.3,54.8,13.7,215.2
158.96,140.53,117.06,59.49,3.12,15.08,34.0,26.3,62.4,37.11,27.5,39.4,25.0,466.2
77.76,58.49,42.25,26.32,5.98,13.35,26.0,46.3,30.6,70.03,27.4,32.5,28.0,1391.5
60.38,44.67,29.38,19.7,4.81,12.67,30.0,51.8,23.5,76.51,33.9,66.2,57.3,1618.9
210.08,196.79,175.31,79.99,1.11,12.46,38.0,16.9,82.4,16.39,31.5,46.7,25.3,151.0
64.3,51.64,33.49,22.43,2.68,13.62,36.0,48.6,25.1,73.75,28.0,69.4,52.7,1530.4
149.16,130.57,108.11,55.69,3.44,14.76,34.0,27.5,58.4,40.83,21.7,34.4,20.5,556.0
125.24,105.31,83.14,45.87,4.38,15.42,32.0,33.7,49.0,50.69,26.6,81.7,20.2,648.6
198.12,187.89,164.68,76.46,-0.27,13.05,42.0,16.5,77.6,19.97,32.2,56.2,41.6,200.3
221.13,210.56,192.2,84.78,0.58,10.4,40.0,12.9,86.7,11.31,31.0,69.8,15.4,96.1
120.22,100.63,76.97,43.92,4.11,16.34,34.0,35.7,47.1,52.72,29.1,28.7,46.6,831.0
181.3,165.86,142.24,68.78,1.73,14.27,36.0,21.6,71.0,27.75,36.3,66.3,58.8,288.2
242.57,238.85,220.05,94.22,-1.92,9.53,50.0,9.4,95.3,3.05,28.2,42.2,6.2,0.0
218.56,210.54,191.14,84.55,-0.5,10.6,42.0,12.9,85.9,11.6,18.9,60.1,2.1,107.3
168.33,154.11,130.89,64.28,1.38,14.1,38.0,22.0,65.9,32.14,27.7,64.9,48.7,362.0
76.5,58.93,39.74,26.25,4.76,14.84,30.0,48.2,30.2,70.12,23.7,42.3,38.2,1434.3
239.78,234.14,217.89,92.78,-0.84,8.56,44.0,9.0,94.1,3.52,34.8,65.5,35.0,17.1
101.7,81.92,58.68,36.26,4.64,16.74,32.0,42.4,40.0,60.38,31.5,28.4,56.4,1060.6
140.8,121.16,96.85,52.08,3.72,16.15,32.0,31.4,55.3,44.61,29.5,57.5,19.4,565.3
79.36,60.79,42.66,27.2,5.32,14.29,30.0,45.5,31.0,69.17,34.3,81.9,57.1,1195.1
89.27,71.51,51.5,31.7,4.39,14.88,32.0,41.6,34.9,64.69,39.9,46.0,50.7,1064.9
202.12,190.71,166.37,77.56,-0.0,13.73,42.0,17.6,79.2,19.04,31.2,56.1,50.5,196.8
244.82,238.6,222.12,94.38,-0.68,8.71,44.0,9.4,96.1,2.03,27.8,63.4,51.8,0.0
78.59,60.85,42.36,27.12,4.87,14.36,30.0,46.7,31.0,69.23,25.6,52.1,11.2,1301.3
56.17,39.31,28.02,17.46,6.14,10.55,24.0,49.8,22.0,78.76,23.4,47.9,2.3,1998.8
54.85,39.89,26.53,17.44,4.86,11.49,28.0,51.0,21.6,78.72,33.2,44.2,41.9,1953.1
194.34,180.0,158.64,73.96,1.59,12.74,36.0,18.0,76.1,22.38,31.0,57.2,48.6,232.0
58.4,41.88,30.42,18.6,5.84,10.47,26.0,48.2,22.7,77.6,30.6,50.8,21.2,1787.8
58.21,42.14,28.27,18.61,5.28,11.94,28.0,51.8,22.7,77.59,24.1,51.1,50.6,1930.0
189.69,180.67,158.4,73.74,-0.56,12.51,44.0,16.9,74.5,22.56,28.3,40.0,36.3,248.1
74.86,54.99,39.91,24.87,6.54,12.88,26.0,46.7,29.4,71.49,27.1,70.6,52.7,1361.3
61.04,43.1,32.87,19.38,6.68,9.91,22.0,45.9,23.9,76.87,37.4,61.4,34.6,1619.7
124.7,107.46,83.33,46.42,2.92,16.05,34.0,33.7,49.0,50.14,25.2,67.0,27.3,682.6
234.36,228.16,207.74,90.63,-1.32,10.71,46.0,11.0,91.8,5.92,29.9,35.4,26.1,44.1
228.92,219.08,201.91,87.78,0.49,9.64,38.0,11.8,89.8,8.24,24.7,52.1,47.1,74.2
88.56,69.17,50.85,30.92,5.44,14.23,28.0,42.7,34.9,65.48,25.6,55.4,34.6,1142.1
156.36,139.09,115.07,58.82,2.58,15.24,36.0,26.3,61.2,37.76,30.0,54.1,53.3,466.8
149.13,132.81,109.08,56.32,2.3,15.07,36.0,26.7,58.4,40.18,38.1,57.1,34.0,453.0
67.81,51.3,33.0,22.75,4.6,14.43,30.0,51.4,26.7,73.57,24.9,59.2,25.3,1554.3
151.79,133.52,111.94,56.82,3.4,14.18,34.0,26.3,59.6,39.63,29.3,32.1,7.0,509.9
86.56,70.94,49.11,31.18,3.15,15.62,34.0,43.5,34.1,65.21,23.7,45.2,45.6,1246.7
135.12,113.35,92.11,49.28,5.17,14.97,30.0,31.8,52.9,47.33,28.6,50.2,20.2,630.5
217.7,207.99,187.31,83.74,-0.09,11.47,40.0,14.1,85.5,12.52,31.0,66.7,46.0,115.7
173.8,157.72,136.26,65.84,2.35,13.37,34.0,22.0,68.2,30.53,29.1,53.7,21.2,333.9
124.48,106.83,83.37,46.22,3.19,15.75,36.0,32.9,48.6,50.31,20.8,49.0,56.9,788.2
195.9,183.52,160.92,75.06,0.64,13.08,40.0,18.0,76.9,21.33,33.0,65.2,38.1,205.8
57.08,43.75,28.78,18.98,3.68,12.05,32.0,49.0,22.4,77.15,23.9,68.7,52.7,1894.7
90.49,71.03,50.97,31.69,5.19,15.22,30.0,43.1,35.3,64.78,33.8,42.5,48.2,1126.6
91.34,75.15,56.43,33.1,3.76,13.71,32.0,38.4,35.7,63.16,26.0,45.5,16.4,1089.8
244.96,238.44,219.34,94.29,-0.99,10.02,44.0,10.6,96.1,2.49,27.0,48.7,42.4,0.0
111.71,90.3,69.41,39.96,5.49,15.37,30.0,38.4,43.9,56.62,27.2,39.8,1.0,894.2
59.29,45.58,30.42,19.87,3.78,12.17,34.0,49.0,23.1,76.27,30.2,50.4,15.6,1718.1
228.81,220.93,202.17,88.24,-0.46,10.17,42.0,11.8,89.8,7.91,22.6,58.7,50.1,67.1
60.49,43.14,29.44,19.25,5.91,12.04,28.0,51.8,23.5,77.0,27.1,69.4,47.5,1749.7
58.37,41.7,26.52,18.46,5.43,12.93,30.0,53.3,22.7,77.8,29.4,69.4,49.4,1770.2
194.68,182.38,157.82,74.59,0.32,14.08,38.0,18.8,76.5,22.01,27.4,77.1,44.1,217.0
154.31,141.11,112.91,59.13,0.31,16.86,40.0,26.7,60.4,37.7,20.2,38.5,41.5,524.0
54.5,40.28,29.44,17.58,4.82,9.68,26.0,46.3,21.2,78.54,29.9,67.8,43.7,1855.5
105.91,85.14,63.98,37.75,5.29,15.59,30.0,39.6,41.6,58.82,23.8,49.1,3.8,942.9
145.99,131.42,105.59,55.57,1.28,15.99,38.0,27.5,57.3,41.04,29.2,70.1,31.5,488.2
112.07,96.77,73.09,41.91,2.28,15.79,36.0,34.9,43.9,54.54,33.9,55.4,23.5,758.0
104.99,82.62,63.01,36.91,6.28,15.04,28.0,40.0,41.2,59.68,29.1,40.0,43.4,987.6
81.28,61.86,43.38,27.76,5.65,14.62,30.0,47.1,31.8,68.66,29.0,53.6,22.0,1257.4
190.94,177.45,150.19,72.83,0.37,15.71,40.0,21.6,74.9,24.12,35.5,58.5,1.5,232.8
103.26,84.6,62.07,37.27,4.16,16.05,34.0,40.0,40.4,59.26,30.4,57.5,23.5,899.6
83.58,64.74,44.67,28.91,5.08,15.36,30.0,46.3,32.9,67.55,36.2,64.3,54.5,1181.3
88.96,74.49,48.4,32.49,1.98,17.82,38.0,45.9,34.9,64.14,33.4,57.1,42.1,1071.3
79.7,61.68,43.23,27.52,4.98,14.35,30.0,46.3,31.4,68.83,31.5,46.6,51.7,1307.7
104.92,83.94,61.8,37.25,5.28,16.23,30.0,40.8,41.2,59.39,26.3,51.1,33.3,934.4
145.12,126.19,104.55,54.04,3.74,14.46,32.0,27.5,56.9,42.44,29.7,61.4,52.0,553.6
183.1,168.26,145.37,69.64,1.6,13.77,36.0,20.8,71.8,26.81,45.0,33.9,58.5,287.9
101.62,80.51,59.84,35.87,5.62,15.52,30.0,41.2,40.0,60.7,26.5,46.7,34.6,999.0
85.67,69.01,49.87,30.52,4.05,14.25,32.0,42.0,33.7,65.79,31.1,52.6,27.3,1115.9
67.38,44.47,34.3,20.67,9.08,10.83,18.0,49.4,26.3,75.84,23.2,71.1,44.6,1623.5
158.96,143.21,121.68,60.31,2.31,13.61,34.0,23.1,62.4,36.03,23.3,66.7,33.6,428.2
103.45,85.56,63.86,37.6,3.91,15.41,34.0,38.0,40.4,58.85,27.4,80.3,33.9,845.8
83.24,67.33,48.25,29.71,3.75,14.15,32.0,42.4,32.5,66.57,36.5,57.2,29.8,1097.8
199.41,187.02,166.51,76.39,0.96,11.97,38.0,16.1,78.0,19.84,26.3,48.4,26.8,201.1
245.71,238.2,222.79,94.36,-0.06,8.35,40.0,9.4,96.5,1.85,30.0,51.7,54.1,0.0
56.36,41.75,29.51,18.28,4.77,10.62,28.0,46.3,22.0,77.85,33.6,58.9,55.0,1802.7
70.32,52.07,35.8,23.35,5.69,13.45,28.0,48.6,27.5,72.97,28.4,41.2,3.9,1522.1
84.93,69.0,48.35,30.4,3.5,15.04,34.0,43.5,33.3,65.95,28.9,46.5,19.9,1180.9
94.46,73.72,55.83,33.02,6.0,14.04,28.0,40.4,36.9,63.42,31.5,72.0,51.3,992.8
202.18,188.33,167.58,76.98,1.46,12.27,36.0,16.9,79.2,19.32,34.0,59.3,22.2,182.6
115.1,95.86,72.66,41.95,4.11,16.17,32.0,36.5,45.1,54.64,31.5,46.8,56.8,830.3
52.71,37.64,26.41,16.45,5.3,10.22,26.0,51.0,20.8,79.7,29.7,70.7,15.0,1832.8
102.1,81.13,60.56,36.11,5.56,15.41,30.0,40.4,40.0,60.44,27.8,49.0,44.6,1004.3
229.19,221.28,204.01,88.4,-0.21,9.43,40.0,11.0,89.8,7.65,33.4,55.7,28.0,58.5
137.16,120.12,94.58,51.4,2.47,16.47,36.0,30.6,53.7,45.26,32.4,48.5,41.8,598.7
132.32,116.36,93.05,49.86,2.37,15.17,36.0,29.4,51.8,46.59,30.8,58.6,48.3,617.1
61.51,45.53,31.33,20.15,5.07,11.99,30.0,49.8,24.3,76.05,33.4,63.0,38.6,1644.0
215.77,206.02,185.78,83.05,-0.01,11.28,40.0,13.7,84.7,13.16,27.3,59.7,33.9,118.0
127.14,108.09,86.14,46.9,3.99,15.09,32.0,32.2,49.8,49.6,26.2,37.8,52.6,755.9
115.01,95.56,72.4,41.85,4.21,16.19,34.0,37.3,45.1,54.75,39.1,60.5,57.5,756.5
229.29,219.92,199.46,87.97,-0.2,11.2,42.0,12.9,89.8,8.36,25.4,52.9,59.3,79.0
199.85,189.45,169.06,77.11,0.24,11.62,38.0,15.7,78.4,19.07,26.3,42.6,57.3,208.1
239.34,234.67,213.9,92.79,-1.91,10.64,50.0,10.6,93.7,4.34,30.0,50.5,41.7,24.5
59.96,46.88,29.28,20.34,3.11,13.55,34.0,51.8,23.5,75.84,18.3,50.0,58.0,1976.5
68.73,52.0,34.38,23.1,4.77,14.01,30.0,50.6,27.1,73.2,26.7,42.6,8.3,1587.6
122.45,103.07,80.32,44.9,4.1,15.72,32.0,34.5,47.8,51.67,22.4,60.7,26.5,739.4
138.41,120.4,95.92,51.62,3.02,16.02,34.0,30.6,54.1,45.0,27.0,67.8,51.9,588.3
82.79,62.71,46.13,28.25,6.18,13.54,28.0,44.7,32.5,68.14,32.2,60.3,9.6,1154.4
75.76,58.08,40.99,25.92,5.11,13.6,30.0,45.9,29.8,70.38,29.3,66.5,34.8,1286.6
236.38,233.27,212.46,92.18,-2.46,10.49,52.0,10.2,92.5,5.06,30.7,58.6,38.7,30.9
73.78,56.4,41.27,25.19,5.28,12.39,28.0,44.7,29.0,71.05,21.8,57.2,37.3,1414.4
122.81,104.21,80.01,45.25,3.54,16.38,34.0,34.9,48.2,51.37,18.3,37.6,3.9,803.3
184.19,169.67,144.86,70.09,1.18,14.7,38.0,21.2,72.2,26.54,30.7,45.3,25.9,280.3
148.39,131.45,106.88,55.83,2.44,15.65,36.0,27.8,58.0,40.76,30.0,55.9,12.4,494.9
214.4,204.37,184.09,82.48,0.09,11.35,40.0,14.1,83.9,13.73,37.0,63.5,53.0,123.3
244.48,237.7,219.11,94.06,-0.83,9.81,46.0,10.2,95.7,2.49,23.1,55.3,6.5,0.0
150.95,134.68,109.75,57.01,2.09,15.68,36.0,27.1,59.2,39.59,39.4,58.7,13.3,431.9
170.72,156.28,130.63,65.06,1.09,15.37,38.0,23.5,67.1,31.59,20.2,29.7,7.4,409.1
245.11,239.67,222.91,94.69,-0.99,8.75,46.0,9.0,96.1,2.0,30.9,66.5,52.8,0.0
48.17,34.47,20.8,14.72,4.37,11.71,28.0,56.1,18.8,81.42,38.3,72.4,13.6,1993.5
199.97,190.0,166.05,77.2,-0.48,13.37,42.0,16.9,78.4,19.33,18.4,70.7,41.4,201.2
97.01,77.18,56.51,34.33,5.12,15.41,30.0,41.2,38.0,62.17,29.3,43.3,45.2,1060.3
101.96,83.19,60.88,36.69,4.27,15.99,32.0,40.4,40.0,59.84,36.1,62.1,37.0,874.4
144.03,125.68,100.99,53.72,3.07,16.05,34.0,29.8,56.5,42.94,27.5,48.0,18.8,556.5
73.71,54.57,37.69,24.56,5.96,13.88,28.0,48.6,29.0,71.81,30.5,50.6,48.0,1441.0
100.42,80.31,60.91,35.7,5.34,14.6,30.0,38.8,39.2,60.75,27.0,48.4,51.3,1024.5
224.74,220.22,200.54,87.71,-1.8,10.22,48.0,10.6,88.2,8.69,24.6,47.2,6.5,71.3
235.87,230.69,208.49,91.4,-1.96,11.44,50.0,11.8,92.5,5.76,26.1,56.9,59.9,34.8
220.18,211.23,191.47,84.86,-0.23,10.89,42.0,13.3,86.3,11.32,23.4,31.9,53.7,118.8
125.92,106.42,82.95,46.24,4.0,16.05,32.0,34.1,49.4,50.38,28.1,52.4,57.4,733.6
236.95,228.95,207.98,91.04,-0.77,11.19,44.0,12.2,92.9,5.57,33.0,51.0,6.2,38.5
244.79,241.39,222.73,95.09,-2.01,9.41,50.0,9.0,96.1,2.7,30.8,47.2,38.0,0.0
64.32,49.5,33.51,21.77,4.11,12.74,32.0,47.1,25.1,74.41,21.8,42.2,35.4,1756.6
73.24,55.03,37.22,24.63,5.37,14.27,30.0,49.4,28.6,71.73,24.6,46.3,46.9,1563.5
117.61,98.42,74.85,42.98,3.99,16.29,32.0,36.5,46.3,53.63,31.7,64.9,30.6,725.9
211.58,200.57,176.81,81.11,-0.09,13.26,42.0,16.5,83.1,15.5,24.3,51.5,49.0,157.7
93.11,76.87,53.64,33.74,3.13,16.34,36.0,42.0,36.5,62.75,26.7,52.8,31.5,1042.3
207.55,193.13,173.3,78.79,1.8,11.81,34.0,16.9,81.6,17.49,26.7,51.1,9.5,172.1
74.1,57.66,40.33,25.59,4.49,13.54,32.0,45.9,29.0,70.67,15.0,71.7,29.6,1449.5
87.08,67.81,50.02,30.33,5.49,13.94,30.0,42.4,34.1,66.04,25.6,50.7,20.1,1169.1
186.33,174.83,149.53,71.73,-0.08,14.47,42.0,19.2,72.9,24.89,23.1,51.1,39.0,283.9
205.28,193.7,169.67,78.67,0.09,13.56,42.0,17.3,80.4,17.92,26.0,52.9,39.6,180.7
69.02,49.1,37.12,22.32,7.19,11.18,22.0,46.3,27.1,74.02,37.9,72.5,34.0,1332.2
85.99,65.99,47.56,29.62,5.8,14.52,28.0,44.3,33.7,66.82,25.4,74.5,58.6,1201.9
238.11,231.48,213.29,91.88,-0.81,9.65,44.0,10.6,93.3,4.37,34.0,48.3,22.2,29.7
66.27,48.53,33.44,21.72,5.72,12.76,30.0,49.8,25.9,74.56,26.5,37.8,45.2,1736.5
80.84,61.98,44.25,27.76,5.47,14.05,30.0,45.5,31.8,68.61,20.1,45.5,13.5,1352.2
